,google,google chrome,facebook messenger,facebook,gmail,messages,instagram,contacts,telegram,slidejoy,whatsapp messenger,youtube,verizon messages,phone,settings,twitter,google play store,messaging,maps,android in call ui
google,2912,23551,6236,5254,2694,1700,6667,302,3156,197,3471,1675,351,790,1785,1102,1454,305,1273,229
google chrome,22144,4165,4983,2995,7685,3405,1024,1108,929,628,1159,1659,1532,915,1384,1536,2281,551,745,456
facebook messenger,6529,4797,2066,12083,2134,2796,841,694,343,340,589,1250,1262,173,629,358,367,453,546,376
facebook,5266,2834,11975,2260,2003,2488,1474,386,420,1898,431,647,1394,178,361,247,603,504,374,261
gmail,2939,7956,2036,2024,867,969,843,461,653,312,454,448,524,878,486,488,399,556,565,200
messages,1748,3343,2814,2548,1063,2545,1386,2173,429,2229,196,654,6,133,304,335,239,0,436,173
instagram,6706,981,800,1503,766,1331,1457,178,2292,230,825,189,372,155,160,739,181,53,414,18
contacts,367,997,705,364,522,2211,171,1510,451,103,181,75,446,1773,175,23,56,936,163,3933
telegram,3149,847,337,452,739,417,2299,424,1580,21,600,725,114,125,520,929,135,25,412,42
slidejoy,197,605,324,1862,328,2368,243,111,16,3091,24,63,0,35,69,2,126,0,147,116
whatsapp messenger,3668,1064,583,457,480,191,818,171,602,19,886,307,5,139,217,286,160,163,148,113
youtube,1691,1444,1297,611,473,686,174,102,731,61,339,808,62,154,299,445,210,112,142,90
verizon messages,381,1527,1263,1407,593,5,380,423,134,0,5,61,1200,131,291,0,103,1,248,561
phone,750,856,166,176,932,149,178,2023,125,35,157,156,138,623,268,57,49,2517,171,354
settings,1881,1395,643,350,497,334,155,171,520,53,227,278,287,255,957,69,365,127,125,73
twitter,1193,1468,368,229,460,342,736,33,896,3,288,455,2,68,99,655,65,71,169,14
google play store,1501,1973,362,603,352,250,151,70,143,143,162,200,123,69,548,70,300,55,126,33
messaging,308,561,568,428,566,0,61,753,25,0,161,86,0,2711,126,70,59,648,135,280
maps,1263,686,570,416,436,469,375,199,420,194,163,137,259,210,122,180,88,138,524,146
android in call ui,211,434,363,276,238,148,16,3793,40,112,109,100,598,364,78,14,39,303,138,432
